#Identifiant_du_site;Libellé_du_site;Caractéristique_du_site;Site_Acores_de_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;latlong
09370A;CORMONTREUIL;Bureau de Poste;;2 PLACE DU GENERAL DE GAULLE;;;51350;CORMONTREUIL;51172;FRANCE;49.222547;4.052928;Géocodé au numéro;3631;49.222547, 4.052928
09373A;CRAMANT AP;Agence postale communale;09379A;PLACE PUISARD;;;51530;CRAMANT;51196;FRANCE;48.988097;3.99038;Géocodé au centre de la commune;3631;48.988097, 3.99038
09377A;DIZY AP;Agence postale communale;09379A;292 RUE DU COLONEL FABIEN;;;51530;DIZY;51210;FRANCE;49.064344;3.968748;Géocodé au numéro;3631;49.064344, 3.968748
09391A;GUEUX BP;Bureau de Poste;;12 RUE DE L EGLISE;;;51390;GUEUX;51282;FRANCE;49.248218;3.911014;Géocodé au numéro;3631;49.248218, 3.911014
09394A;HERMONVILLE BP;Bureau de Poste;;15 PLACE DE LA MAIRIE;;;51220;HERMONVILLE;51291;FRANCE;49.335799;3.909959;Géocodé au numéro;3631;49.335799, 3.909959
09396A;JALONS RP;Relais poste commerçant;09433A;33 ROUTE NATIONALE;CAFE TABAC LES CALANQUES;;51150;JALONS;51303;FRANCE;49.009308;4.185985;Géocodé au numéro;3631;49.009308, 4.185985
09410A;MONTMIRAIL BP;Bureau de Poste;;9 RUE LUCIEN MATHIEU;;;51210;MONTMIRAIL;51380;FRANCE;48.871287;3.539091;Géocodé au numéro;3631;48.871287, 3.539091
09411A;MONTMORT LUCY AP;Agence postale communale;09378A;24 RUE DE LA LIBERATION;;;51270;MONTMORT LUCY;51381;FRANCE;48.924095;3.809619;Géocodé au numéro;3631;48.924095, 3.809619
09424A;PONTFAVERGER MORONVILLIERS BP;Bureau de Poste;;2 RUE DE SAINT BRICE;;;51490;PONTFAVERGER MORONVILLIERS;51440;FRANCE;49.297912;4.3167;Géocodé au numéro;3631;49.297912, 4.3167
09425A;REIMS BOULINGRIN;Bureau de Poste;;2 RUE OLIVIER METRA;;;51100;REIMS;51454;FRANCE;49.260791;4.032881;Géocodé au numéro;3631;49.260791, 4.032881
09435A;SAINT REMY EN BOUZEMONT BP;Bureau de Poste;;22 GRANDE RUE;;;51290;ST REMY EN BOUZEMONT ST GENEST;51513;FRANCE;48.628829;4.644155;Géocodé au numéro;3631;48.628829, 4.644155
09442A;SOMMESOUS AP;Agence postale communale;09439A;29 RUE DU CHAUFFRY;;;51320;SOMMESOUS;51545;FRANCE;48.7361;4.203097;Géocodé au milieu de la rue;3631;48.7361, 4.203097
