#Identifiant_du_site;Libellé_du_site;Caractéristique_du_site;Site_Acores_de_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;latlong
10253A;SAINTE ANNE D AURAY BP;Bureau de Poste;;23 RUE DU GENERAL DE GAULLE;;;56400;STE ANNE D AURAY;56263;FRANCE;47.702675;-2.954925;Géocodé au numéro;3631;47.702675, -2.954925
10268A;VANNES MENIMUR BP;Bureau de Poste;;42 AVENUE EDGAR DEGAS;ZONE COMMERCIALE LES VENETES;;56000;VANNES;56260;FRANCE;47.672492;-2.76612;Géocodé au numéro;3631;47.672492, -2.76612
10272A;ACHEN AP;Agence postale communale;10450A;11 RUE DE LA MAIRIE;AGENCE POSTALE COMMUNALE;;57412;ACHEN;57006;FRANCE;49.040793;7.186386;Géocodé au milieu de la rue;3631;49.040793, 7.186386
10274A;ALBESTROFF BP;Bureau de Poste;;3 RUE DU CHATEAU;;;57670;ALBESTROFF;57011;FRANCE;48.932775;6.857404;Géocodé au numéro;3631;48.932775, 6.857404
10280A;AMNEVILLE BP;Bureau de Poste;;6 PLACE FREDERIC RAU;;;57360;AMNEVILLE LES THERMES;57019;FRANCE;49.260595;6.143089;Géocodé au numéro;3631;49.260595, 6.143089
10290A;AY SUR MOSELLE AP;Agence postale communale;10356A;1 PLACE DE LA MAIRIE;;;57300;AY SUR MOSELLE;57043;FRANCE;49.242899;6.206144;Géocodé au numéro;3631;49.242899, 6.206144
10294A;BEHREN LES FORBACH BP;Bureau de Poste;;RUE STANISLAS;;;57460;BEHREN LES FORBACH;57058;FRANCE;49.170571;6.933707;Géocodé au numéro;3631;49.170571, 6.933707
10297A;BERTHELMING RP;Relais poste commerçant;10449A;36 RUE PRINCIPALE;PROXY TABAC - EIRL GERMAIN KELLY;;57930;BERTHELMING;57066;FRANCE;48.815672;7.006108;Géocodé au numéro;3631;48.815672, 7.006108
10299A;ST AVOLD EMILE HUCHET AP;Agence postale communale;10440A;57 AVENUE PRINCIPALE;;CITE HUCHET;57500;ST AVOLD;57606;FRANCE;49.133049;6.706522;Géocodé au milieu d un îlot;3631;49.133049, 6.706522
10305A;BITCHE BP;Bureau de Poste;;28 RUE DES TILLEULS;;;57230;BITCHE;57089;FRANCE;49.05109;7.43096;Géocodé au numéro;3631;49.05109, 7.43096
10306A;BLIESBRUCK RP;Relais poste commerçant;10450A;29 RUE PRINCIPALE;BOULANGERIE TABAC PORTE;;57200;BLIESBRUCK;57091;FRANCE;49.115111;7.181077;Géocodé au numéro;3631;49.115111, 7.181077
10319A;COURCELLES CHAUSSY BP;Bureau de Poste;;42 AVENUE DE LA LIBERATION;;;57530;COURCELLES CHAUSSY;57155;FRANCE;49.109199;6.402174;Géocodé au numéro;3631;49.109199, 6.402174
10320A;COURCELLES SUR NIED RP;Relais poste commerçant;10528A;7 RUE DU BREUIL;LA PETITE EPICERIE;;57530;COURCELLES SUR NIED;57156;FRANCE;49.067257;6.308617;Géocodé au numéro;3631;49.067257, 6.308617
10323A;DABO BP;Bureau de Poste;;10 PLACE DE L EGLISE;;;57850;DABO;57163;FRANCE;48.653553;7.235882;Géocodé au numéro;3631;48.653553, 7.235882
10328A;EBERSVILLER AP;Agence postale communale;10322A;11 RUE PRINCIPALE;;;57320;EBERSVILLER;57186;FRANCE;49.275396;6.403198;Géocodé au milieu de la rue;3631;49.275396, 6.403198
10330A;ENNERY BP;Bureau de Poste;;2 PLACE ROBERT SCHUMAN;;;57365;ENNERY;57193;FRANCE;49.226394;6.217249;Géocodé au numéro;3631;49.226394, 6.217249
10337A;FENETRANGE BP;Bureau de Poste;;11 RUE DES REMPARTS;;;57930;FENETRANGE;57210;FRANCE;48.844697;7.019459;Géocodé au numéro;3631;48.844697, 7.019459
10338A;FLORANGE BP;Bureau de Poste;;6 RUE DE BOURGOGNE;;;57190;FLORANGE;57221;FRANCE;49.325086;6.123985;Géocodé au numéro;3631;49.325086, 6.123985
10340A;FONTOY BP;Bureau de Poste;;14 RUE DU MOULIN;;;57650;FONTOY;57226;FRANCE;49.355587;5.997922;Géocodé au numéro;3631;49.355587, 5.997922
10344A;FREYMING MERLEBACH GENETS BP;Bureau de Poste;;23 AVENUE ERCKMANN CHATRIAN;;;57800;FREYMING MERLEBACH;57240;FRANCE;49.144092;6.80195;Géocodé au numéro;3631;49.144092, 6.80195
10346A;GOETZENBRUCK RP;Relais poste commerçant;10450A;7 BIS RUE DE BITCHE;TABAC LOTO PRESSE GREINER;;57620;GOETZENBRUCK;57250;FRANCE;48.978333;7.379923;Géocodé au numéro;3631;48.978333, 7.379923
10354A;LE VAL DE GUEBLANGE RP;Relais poste commerçant;10394A;1 RUE DE L ANCIENNE GARE;BOULANGERIE ZIEHL;AUDVILLER;57430;LE VAL DE GUEBLANGE;57267;FRANCE;48.973248;6.953953;Géocodé au numéro;3631;48.973248, 6.953953
10358A;HAM SOUS VARSBERG BP;Bureau de Poste;;10 RUE DE HAM;;;57880;HAM SOUS VARSBERG;57288;FRANCE;49.192095;6.662828;Géocodé au numéro;3631;49.192095, 6.662828
10364A;HERNY AP;Agence postale communale;10336A;42 RUE PRINCIPALE;;;57580;HERNY;57319;FRANCE;48.9982;6.478146;Géocodé au numéro;3631;48.9982, 6.478146
10371A;ILLANGE AP;Agence postale communale;10491A;2 RUE DE LA MOSELLE;;;57970;ILLANGE;57343;FRANCE;49.327905;6.179402;Géocodé au numéro;3631;49.327905, 6.179402
10378A;LEMBERG BP;Bureau de Poste;;GRAND RUE;ANCIEN LOCAL SNCF;;57620;LEMBERG;57390;FRANCE;49.000275;7.379356;Géocodé au numéro;3631;49.000275, 7.379356
10382D;SAINT FLOUR MAISON DE PAYS AP;Agence postale communale;02480A;35 PLACE DE LA LIBERTE;;;15100;ST FLOUR;15187;FRANCE;45.033686;3.101492;Géocodé au numéro;3631;45.033686, 3.101492
10383D;ST MAURICE LA FOUGEREUSE AP;Agence postale communale;15101A;1 PLACE  PLESSIS COFFRED;MAIRIE;;79150;ST MAURICE LA FOUGEREUSE;79280;FRANCE;47.031718;-0.494088;Géocodé au numéro;3631;47.031718, -0.494088
10390A;MARLY;Bureau de Poste;;11 PLACE DE GAULLE;;;57155;MARLY;57447;FRANCE;49.061191;6.161386;Géocodé au numéro;3631;49.061191, 6.161386
10401A;MONTBRONN RP;Relais poste commerçant;10450A;41 RUE CENTRALE;TABAC PRESSE LOTO SCHNEIDER;;57415;MONTBRONN;57477;FRANCE;48.994933;7.313356;Géocodé au numéro;3631;48.994933, 7.313356
10403A;MONTOIS LA MONTAGNE BP;Bureau de Poste;;4 RUE DE LA MINE;;;57860;MONTOIS LA MONTAGNE;57481;FRANCE;49.216435;6.019363;Géocodé au numéro;3631;49.216435, 6.019363
10407A;MOUSSEY RP;Relais poste commerçant;10449A;3 AVENUE THOMAS BATA;COOP DE MOUSSEY;;57770;MOUSSEY;57488;FRANCE;48.673994;6.782907;Géocodé au centre de la commune;3631;48.673994, 6.782907
10421D;ESCAPADE OCEANE RP;Agence postale intercommunale;05801A;5 PLACE MARCEL PREVOT;ESCAPADE OCEANE;;33121;CARCANS;33097;FRANCE;45.0828185;-1.1878782;Géocodé au numéro;3631;45.0828185, -1.1878782
10423D;BAR L ARCHANGE AP RP;Agence postale intercommunale;05970A;11 PLACE DU 8 MAI 1945;;;33790;PELLEGRUE;33316;FRANCE;44.743582;0.075814;Géocodé au milieu d un îlot;3631;44.743582, 0.075814
10425D;LA TORTUE BLEUE LPRT RP;Agence postale intercommunale;05875A;96 RUE CATUSSEAU;;;33500;POMEROL;33328;FRANCE;44.9233654;-0.2057232;Géocodé au numéro;3631;44.9233654, -0.2057232
10430A;REMILLY BP;Bureau de Poste;;8 PLACE LECLERC;;;57580;REMILLY;57572;FRANCE;49.01425;6.393318;Géocodé au numéro;3631;49.01425, 6.393318
10435A;ROMBAS;Bureau de Poste;;AVENUE HECTOR BERLIOZ;;;57120;ROMBAS;57591;FRANCE;49.250195;6.097815;Géocodé au numéro;3631;49.250195, 6.097815
10436A;RONCOURT AP;Agence postale communale;10435A;30 RUE RAYMOND MONDON;;;57860;RONCOURT;57593;FRANCE;49.202096;6.038981;Géocodé au milieu de la rue;3631;49.202096, 6.038981
10438A;ROSSELANGE AP;Agence postale communale;10435A;49 PLACE JEAN BURGER;;;57780;ROSSELANGE;57597;FRANCE;49.258181;6.068154;Géocodé au numéro;3631;49.258181, 6.068154
10441A;SAINT JEAN ROHRBACH AP;Agence postale communale;10394A;4 RUE SAINT JEAN;;;57510;ST JEAN ROHRBACH;57615;FRANCE;49.026197;6.884526;Géocodé au centre de la commune;3631;49.026197, 6.884526
10447A;SARRALBE BP;Bureau de Poste;;1 RUE SAINT MARTIN;;;57430;SARRALBE;57628;FRANCE;48.999431;7.027902;Géocodé au numéro;3631;48.999431, 7.027902
10467A;THIONVILLE PRINCIPAL;Bureau de Poste;;2 RUE DE STRASBOURG;;;57100;THIONVILLE;57672;FRANCE;49.3553;6.161958;Géocodé au numéro;3631;49.3553, 6.161958
10472A;VALMONT BP;Bureau de Poste;;CENTRE COMMERCIAL VALMONT;;;57730;VALMONT;57690;FRANCE;49.082994;6.696559;Géocodé au centre de la commune;3631;49.082994, 6.696559
10478D;LE JARDIN DE CAMBES RP;Agence postale intercommunale;05830A;3 ROUTE DE LANGOIRAN;LE JARDIN DE CAMBES;;33880;CAMBES;33084;FRANCE;44.741166;-0.4638002;Géocodé au centre de la commune;3631;44.741166, -0.4638002
10488A;WOELFLING LES SARREGUEMINES AP;Agence postale communale;10450A;4 RUE DE L ECOLE;;;57200;WOELFLING SARREGUEMINES;57750;FRANCE;49.085292;7.173794;Géocodé au centre de la commune;3631;49.085292, 7.173794
10490A;WOUSTVILLER RP;Relais poste commerçant;10450A;1 RUE DE NANCY;MAISON CALIS;;57915;WOUSTVILLER;57752;FRANCE;49.074805;7.008394;Géocodé au numéro;3631;49.074805, 7.008394
10510A;METZ LES HALLES BP;Bureau de Poste;;1 RUE DE LA PIERRE HARDIE;;;57000;METZ;57463;FRANCE;49.119298;6.173167;Géocodé au numéro;3631;49.119298, 6.173167
10516A;FREYMING MERLEBACH LA CHAPELLE AP;Agence postale communale;10394A;PLACE DE PARIS;CENTRE SOCIAL;CHAPELLE;57800;FREYMING MERLEBACH;57240;FRANCE;49.146455;6.779607;Géocodé au milieu d un îlot;3631;49.146455, 6.779607
10526A;METZ CENTRE;Bureau de Poste;;CENTRE COMMERCIAL SAINT JACQUES;;;57000;METZ;57463;FRANCE;49.117799;6.177564;Géocodé au numéro;3631;49.117799, 6.177564
10527A;THIONVILLE COTE DES ROSES BP;Bureau de Poste;;5 ALLEE DE LA TERRASSE;;;57100;THIONVILLE;57672;FRANCE;49.366897;6.148239;Géocodé au numéro;3631;49.366897, 6.148239
10528A;METZ HAUT DE BLEMONT;Bureau de Poste;;27 BOULEVARD DE GUYENNE;;;57070;METZ;57463;FRANCE;49.109788;6.218954;Géocodé au numéro;3631;49.109788, 6.218954
10531A;METZ MAGNY BP;Bureau de Poste;;RUE JEAN D APREMONT;;;57000;METZ;57463;FRANCE;49.078694;6.18617;Géocodé au numéro;3631;49.078694, 6.18617
10533A;THIONVILLE LA MILLIAIRE RP;Relais poste commerçant;10467A;77 BOUCLE DE LA MILLIAIRE;TABAC PRESSE;;57100;THIONVILLE;57672;FRANCE;49.35719;6.14898;Géocodé au numéro;3631;49.35719, 6.14898
10539A;ALLIGNY EN MORVAN BP;Bureau de Poste;;RTE DE BAZOLLES;;;58230;ALLIGNY EN MORVAN;58003;FRANCE;47.200143;4.177861;Géocodé au numéro;3631;47.200143, 4.177861
10542A;ARQUIAN AP;Agence postale communale;10577A;35 ROUTE DE ST AMAND;LE BOURG;;58310;ARQUIAN;58012;FRANCE;47.542292;2.986916;Géocodé au centre de la commune;3631;47.542292, 2.986916
10543A;AUNAY EN BAZOIS AP;Agence postale communale;10563A;ROUTE D  ACHUN;;;58110;AUNAY EN BAZOIS;58017;FRANCE;47.116196;3.698716;Géocodé au centre de la commune;3631;47.116196, 3.698716
10543B;JARRIE GARE RP;Relais poste commerçant;07084A;122 AVENUE DE LA GARE;BOULANGERIE SARL VHN MR NIVON;;38560;JARRIE;38200;FRANCE;45.115795;5.757504;Géocodé au numéro;3631;45.115795, 5.757504
10549A;BILLY SUR OISY AP;Agence postale communale;10573A;LE BOURG;MAIRIE;BILLY SUR OISY;58500;BILLY SUR OISY;58032;FRANCE;47.479693;3.412596;Géocodé au centre de la commune;3631;47.479693, 3.412596
10559A;CHAMPLEMY AP;Relais poste commerçant;10573A;GRANDE RUE;CAFE RESTAURANT LE MONTAUBAN;;58210;CHAMPLEMY;58053;FRANCE;47.285853;3.350378;Géocodé au numéro;3631;47.285853, 3.350378
10560A;CHANTENAY ST IMBERT BP;Bureau de Poste;;RUE DE LA POSTE;;;58240;CHANTENAY ST IMBERT;58057;FRANCE;46.732398;3.184199;Géocodé au numéro;3631;46.732398, 3.184199
10566A;CHAULGNES RP;Relais poste commerçant;10577A;4 RUE DE LA TUILERIE;BOULANGERIE;;58400;CHAULGNES;58067;FRANCE;47.129104;3.100222;Géocodé au numéro;3631;47.129104, 3.100222
10573A;CLAMECY;Bureau de Poste;;AVENUE DU GENERAL LECLERC;;;58500;CLAMECY;58079;FRANCE;47.46369;3.519603;Géocodé au numéro;3631;47.46369, 3.519603
10574A;CORANCY AP;Agence postale communale;10563A;LE BOURG;;;58120;CORANCY;58082;FRANCE;47.101499;3.947821;Géocodé au centre de la commune;3631;47.101499, 3.947821
10577A;COSNE COURS SUR LOIRE;Bureau de Poste;;PLACE DE LA RESISTANCE;;;58200;COSNE COURS SUR LOIRE;58086;FRANCE;47.410386;2.923145;Géocodé au numéro;3631;47.410386, 2.923145
10583A;DONZY BP;Bureau de Poste;;RUE D OSMOND;;;58220;DONZY;58102;FRANCE;47.371456;3.125592;Géocodé au numéro;3631;47.371456, 3.125592
10586A;DUN LES PLACES AP;Agence postale communale;10563A;AU BOURG;;;58230;DUN LES PLACES;58106;FRANCE;47.285093;4.014849;Géocodé au centre de la commune;3631;47.285093, 4.014849
10592D;LOTO DEVARENNE RP;Agence postale intercommunale;05816A;12 RUE DU 11 NOVEMBRE 1918;TABAC PRESSE LOTO DEVARENNE;;33720;BARSAC;33030;FRANCE;44.6088328;-0.315156;Géocodé au milieu d un îlot;3631;44.6088328, -0.315156
08939A;BRIOLLAY AP;Agence postale communale;09124A;8 BIS RUE HENRI MATISSE;;;49125;BRIOLLAY;49048;FRANCE;47.564291;-0.509151;Géocodé au milieu de la rue;3631;47.564291, -0.509151
08942A;BRISSARTHE AP;Agence postale communale;09124A;14 RUE DE LA MAIRIE;;;49330;BRISSARTHE;49051;FRANCE;47.697595;-0.448847;Géocodé au milieu de la rue;3631;47.697595, -0.448847
08943A;BROC RP;Relais poste commerçant;09124A;32 RUE MAULNE;BAR TABAC;;49490;BROC;49052;FRANCE;47.57961;0.165782;Géocodé au numéro;3631;47.57961, 0.165782
08950A;CHALONNES SUR LOIRE;Bureau de Poste;;2 RUE DES POILUS;;;49290;CHALONNES SUR LOIRE;49063;FRANCE;47.352309;-0.762042;Géocodé au numéro;3631;47.352309, -0.762042
08958A;LA CHAPELLE DU GENET AP;Agence postale communale;08924A;65 RUE NATIONALE;;;49600;LA CHAPELLE DU GENET;49072;FRANCE;47.182596;-1.016893;Géocodé au milieu de la rue;3631;47.182596, -1.016893
08964A;CHAUDRON EN MAUGES AP;Agence postale communale;08924A;27 RUE D ANJOU;;;49110;CHAUDRON EN MAUGES;49083;FRANCE;47.288194;-0.979214;Géocodé au milieu de la rue;3631;47.288194, -0.979214
08967A;CHAZE SUR ARGOS AP;Agence postale communale;09122A;PLACE SAINT JULIEN;;;49500;CHAZE SUR ARGOS;49089;FRANCE;47.617296;-0.893003;Géocodé au milieu de la rue;3631;47.617296, -0.893003
08969A;CHEMILLE;Bureau de Poste;;120 RUE NATIONALE;;;49120;CHEMILLE;49092;FRANCE;47.214013;-0.731021;Géocodé au numéro;3631;47.214013, -0.731021
08977A;CORNE BP;Bureau de Poste;;PLACE PAUL MAUGET;;;49630;CORNE;49106;FRANCE;47.471094;-0.34986;Géocodé au numéro;3631;47.471094, -0.34986
08982A;COURCHAMPS RP;Relais poste commerçant;08990A;60 RUE DU MIHERVE;AU FOURNIL DES SAVEURS;;49260;COURCHAMPS;49113;FRANCE;47.200851;-0.16829;Géocodé au numéro;3631;47.200851, -0.16829
08991A;DRAIN AP;Agence postale communale;08924A;ALLEE DES JARDINS;;DRAIN;49530;OREE D ANJOU;49069;FRANCE;47.3399;-1.11273;Géocodé au centre de la commune;3631;47.3399, -1.11273
09000A;FOUGERE AP;Agence postale communale;09124A;PLACE DU CLOCHER VRILLE;;FOUGERE;49150;BAUGE EN ANJOU;49018;FRANCE;47.5414;-0.10377;Géocodé au centre de la commune;3631;47.5414, -0.10377
09001A;FREIGNE AP;Agence postale communale;09122A;2 RUE SAINT MAURICE;MAIRIE;;49440;FREIGNE;49144;FRANCE;47.547391;-1.125407;Géocodé au milieu de la rue;3631;47.547391, -1.125407
09019A;LEZIGNE RP;Relais poste commerçant;09124A;5 RUE DES QUATRE VENTS;LES TILLEULS M F CHOISNE;;49430;LEZIGNE;49174;FRANCE;47.636394;-0.295204;Géocodé au numéro;3631;47.636394, -0.295204
09048A;MONTSOREAU RP;Relais poste commerçant;09168A;12 PLACE DU MAIL;VIVECO M ET MME GODINEAU;;49730;MONTSOREAU;49219;FRANCE;47.216421;0.057252;Géocodé au numéro;3631;47.216421, 0.057252
09055A;NOYANT LA GRAVOYERE AP;Agence postale communale;09122A;RUE CONSTANT GERARD;;;49520;NOYANT LA GRAVOYERE;49229;FRANCE;47.705199;-0.960076;Géocodé au milieu de la rue;3631;47.705199, -0.960076
09066A;LES PONTS DE CE BP;Bureau de Poste;;5 RUE CHARLES DE GAULLE;;;49130;LES PONTS DE CE;49246;FRANCE;47.424992;-0.525006;Géocodé au numéro;3631;47.424992, -0.525006
09074A;LA RENAUDIERE AP;Agence postale communale;08973A;7 PLACE DE L EGLISE;;LA RENAUDIERE;49450;SEVREMOINE;49301;FRANCE;47.12022;-1.05899;Géocodé au centre de la commune;3631;47.12022, -1.05899
09081A;SAINT BARTHELEMY D ANJOU;Bureau de Poste;;16 ROUTE DE BEAUFORT;;;49124;ST BARTHELEMY D ANJOU;49267;FRANCE;47.466794;-0.493789;Géocodé au numéro;3631;47.466794, -0.493789
09334A;SAINT MARTIN D ABLOIS AP;Agence postale communale;09379A;1 PLACE DU GL DE GAULLE;;;51530;ST MARTIN D ABLOIS;51002;FRANCE;49.012096;3.867709;Géocodé au centre de la commune;3631;49.012096, 3.867709
09363A;CHOUILLY AP;Agence postale communale;09379A;12 RUE MELIGNON;;;51530;CHOUILLY;51153;FRANCE;49.024699;4.01223;Géocodé au centre de la commune;3631;49.024699, 4.01223
09378A;DORMANS;Bureau de Poste;;9 RUE CARNOT;;;51700;DORMANS;51217;FRANCE;49.075228;3.640006;Géocodé au numéro;3631;49.075228, 3.640006
09379A;EPERNAY SAINT MARTIN;Bureau de Poste;;1 PLACE HUGUES PLOMB;;;51200;EPERNAY;51230;FRANCE;49.043498;3.954458;Géocodé au numéro;3631;49.043498, 3.954458
09388A;GAYE AP;Agence postale communale;09439A;1 RUE DE L EGLISE;;;51120;GAYE;51265;FRANCE;48.684996;3.803627;Géocodé au milieu de la rue;3631;48.684996, 3.803627
09392A;HAUTVILLERS AP;Agence postale communale;09378A;156 RUE DE BACCHUS;;;51160;HAUTVILLERS;51287;FRANCE;49.084798;3.94638;Géocodé au milieu de la rue;3631;49.084798, 3.94638
09397A;JONCHERY SUR VESLE BP;Bureau de Poste;;2 RUE DU MARCHE;;;51140;JONCHERY SUR VESLE;51308;FRANCE;49.28689;3.8134;Géocodé au numéro;3631;49.28689, 3.8134
09398A;JUVIGNY AP;Agence postale communale;09358A;22 RUE PRINCIPALE;MAIRIE;;51150;JUVIGNY;51312;FRANCE;49.019094;4.26347;Géocodé au centre de la commune;3631;49.019094, 4.26347
09399A;LOISY SUR MARNE RP;Relais poste commerçant;09463A;5 RUE DE L ECHELLE;BOULANGERIE;;51300;LOISY SUR MARNE;51328;FRANCE;48.759394;4.541588;Géocodé au milieu de la rue;3631;48.759394, 4.541588
09401A;LUDES AP;Agence postale communale;09370A;5 RUE NATIONALE;;;51500;LUDES;51333;FRANCE;49.154484;4.080025;Géocodé au numéro;3631;49.154484, 4.080025
09404A;MARCILLY SUR SEINE AP;Agence postale communale;09439A;29 AVENUE DES TILLEULS;;;51260;MARCILLY SUR SEINE;51343;FRANCE;48.557496;3.707199;Géocodé au centre de la commune;3631;48.557496, 3.707199
09413A;MOURMELON LE PETIT RP;Relais poste commerçant;09434A;16 RUE DU 11 NOVEMBRE 1918;;;51400;MOURMELON LE PETIT;51389;FRANCE;49.131871;4.316472;Géocodé au numéro;3631;49.131871, 4.316472
09414A;MOUSSY RP;Relais poste commerçant;09379A;73 RUE DES PRIEURES;;;51530;MOUSSY;51390;FRANCE;49.012477;3.922525;Géocodé au numéro;3631;49.012477, 3.922525
09421A;PIERRY AP;Agence postale communale;09379A;PLACE DU GENERAL LECLERC;;;51530;PIERRY;51431;FRANCE;49.019728;3.93886;Géocodé au numéro;3631;49.019728, 3.93886
09436A;SARRY RP;Relais poste commerçant;09433A;PLACE DU COMMERCE;;;51520;SARRY;51525;FRANCE;48.918327;4.407423;Géocodé au numéro;3631;48.918327, 4.407423
09437A;SEPT SAULX AP;Agence postale communale;09434A;6 PLACE PIERRE LEFEVRE;;;51400;SEPT SAULX;51530;FRANCE;49.151096;4.251838;Géocodé au milieu de la rue;3631;49.151096, 4.251838
09439A;SEZANNE;Bureau de Poste;;8 RUE LEON JOLLY;;;51120;SEZANNE;51535;FRANCE;48.723402;3.721339;Géocodé au numéro;3631;48.723402, 3.721339
09440A;SILLERY BP;Bureau de Poste;;1 PLACE DE L EUROPE;;;51500;SILLERY;51536;FRANCE;49.197627;4.132637;Géocodé au numéro;3631;49.197627, 4.132637
09441A;SOMMEPY TAHURE AP;Agence postale communale;09434A;1 RUE ROYA;;;51600;SOMMEPY TAHURE;51544;FRANCE;49.2501;4.556107;Géocodé au numéro;3631;49.2501, 4.556107
09449A;TREPAIL AP;Agence postale communale;09370A;RUE DE LA MAIRIE;;;51380;TREPAIL;51580;FRANCE;49.107295;4.179845;Géocodé au milieu de la rue;3631;49.107295, 4.179845
09451A;TROISSY AP;Agence postale communale;09378A;12 RUE DE CHAMPAGNE;;;51700;TROISSY;51585;FRANCE;49.082394;3.708786;Géocodé au milieu de la rue;3631;49.082394, 3.708786
09455A;VERTUS L AUDITOIRE BP;Bureau de Poste;;11 RUE JEAN LE BON;;;51130;VERTUS;51612;FRANCE;48.905299;4.003487;Géocodé au numéro;3631;48.905299, 4.003487
09456A;VERZENAY AP;Agence postale communale;09370A;8 RUE ARNOULD QUENARDEL;;;51360;VERZENAY;51613;FRANCE;49.158699;4.146656;Géocodé au numéro;3631;49.158699, 4.146656
09458A;VIENNE LE CHATEAU BP;Bureau de Poste;;114 RUE DE LA CROIX;;;51800;VIENNE LE CHATEAU;51621;FRANCE;49.189464;4.887645;Géocodé au numéro;3631;49.189464, 4.887645
09462A;VITRY EN PERTHOIS AP;Agence postale communale;09463A;3 RUE DE LA TRINITE;REZ DE CHAUSSEE;;51300;VITRY EN PERTHOIS;51647;FRANCE;48.743592;4.629658;Géocodé au milieu de la rue;3631;48.743592, 4.629658
09465A;WITRY LES REIMS;Bureau de Poste;;11 RUE DE BETHENY;;;51420;WITRY LES REIMS;51662;FRANCE;49.291293;4.117158;Géocodé au numéro;3631;49.291293, 4.117158
09467A;VITRY LE FRANCOIS LE HAMOIS RP;Relais poste commerçant;09463A;;;ZONE COMMERCIALE LE HAMOIS;51300;VITRY LE FRANCOIS;51649;FRANCE;48.732799;4.587029;Géocodé au numéro;3631;48.732799, 4.587029
09473A;REIMS DROUET D ERLON BP;Bureau de Poste;;8 PLACE DROUET D ERLON;;;51100;REIMS;51454;FRANCE;49.254394;4.027728;Géocodé au numéro;3631;49.254394, 4.027728
09476A;REIMS GAMBETTA BP;Bureau de Poste;;121 RUE GAMBETTA;;;51100;REIMS;51454;FRANCE;49.247093;4.038799;Géocodé au numéro;3631;49.247093, 4.038799
09477A;REIMS CLAIRMARAIS BP;Bureau de Poste;;11 RUE GASTON BOYER;;;51100;REIMS;51454;FRANCE;49.260591;4.021589;Géocodé au numéro;3631;49.260591, 4.021589
09478A;REIMS PONT D EPERNAY RP;Relais poste commerçant;09425A;27 AVENUE DE PARIS;CARREFOUR MARKET;;51100;REIMS;51454;FRANCE;49.248145;4.011929;Géocodé au numéro;3631;49.248145, 4.011929
09482A;REIMS LISIEUX RP;Relais poste commerçant;09480A;AVENUE DU GENERAL KOENIG;RELAIS H HOPITAL ROBERT DEBRE;;51100;REIMS;51454;FRANCE;49.226721;4.022853;Géocodé au numéro;3631;49.226721, 4.022853
09488A;REIMS EUROPE BP;Bureau de Poste;;6 PLACE JEAN MOULIN;;;51100;REIMS;51454;FRANCE;49.254999;4.06034;Géocodé au numéro;3631;49.254999, 4.06034
09494A;ANDELOT BLANCHEVILLE BP;Bureau de Poste;;13 PLACE CANTAREL;;;52700;ANDELOT BLANCHEVILLE;52008;FRANCE;48.244003;5.299413;Géocodé au numéro;3631;48.244003, 5.299413
09495A;ARC EN BARROIS BP;Bureau de Poste;;101 RUE ANATOLE GABEUR;;;52210;ARC EN BARROIS;52017;FRANCE;47.947989;5.012302;Géocodé au numéro;3631;47.947989, 5.012302
09496A;AUBERIVE BP;Bureau de Poste;;2 RUE DES FERMIERS;;;52160;AUBERIVE;52023;FRANCE;47.786271;5.06196;Géocodé au numéro;3631;47.786271, 5.06196
09500A;BOURBONNE LES BAINS BP;Bureau de Poste;;15 AV DU MAL DE LATTRE DE TASSIGNY;;;52400;BOURBONNE LES BAINS;52060;FRANCE;47.95103;5.74481;Géocodé au numéro;3631;47.95103, 5.74481
09502A;BOURMONT BP;Bureau de Poste;;49 B RUE DU FAUBOURG DE FRANCE;;;52150;BOURMONT;52064;FRANCE;48.197493;5.586696;Géocodé au numéro;3631;48.197493, 5.586696
09505A;BROUSSEVAL AP;Agence postale communale;09513A;RUE DE COLOMBEY;;;52130;BROUSSEVAL;52079;FRANCE;48.491301;4.967663;Géocodé au numéro;3631;48.491301, 4.967663
09520A;CUREL AP;Agence postale communale;09513A;RUE DE LA MAIRIE;;;52300;CUREL;52156;FRANCE;48.488296;5.138355;Géocodé au milieu de la rue;3631;48.488296, 5.138355
09521A;DAMPIERRE AP;Agence postale communale;09547A;RUE HAUTE;;;52360;DAMPIERRE;52163;FRANCE;47.953999;5.396255;Géocodé au milieu de la rue;3631;47.953999, 5.396255
09522A;DOMMARTIN LE FRANC AP;Agence postale communale;09513A;1 RUE DU MARECHAL LECLERC;;;52110;DOMMARTIN LE FRANC;52171;FRANCE;48.427099;4.959757;Géocodé au centre de la commune;3631;48.427099, 4.959757
09534A;GONCOURT AP;Agence postale communale;09513A;3 PLACE DE LA FONTAINE;;;52150;GONCOURT;52225;FRANCE;48.239699;5.608143;Géocodé au centre de la commune;3631;48.239699, 5.608143
09545A;LAFERTE SUR AUBE AP;Agence postale communale;09547A;58 RUE PIERRE CHAMPAGNE;;;52120;LAFERTE SUR AUBE;52258;FRANCE;48.096592;4.782954;Géocodé au milieu de la rue;3631;48.096592, 4.782954
